Label,Prediction
[620.17498779],[616.6194]
[620.27502441],[618.8693]
[622.67498779],[621.5126]
[612.29998779],[624.0473]
[606.625],[623.29266]
[613.25],[619.6922]
[625.57501221],[617.55286]
[620.09997559],[620.0356]
[615.45001221],[622.8089]
[616.77502441],[623.42267]
[624.04998779],[623.0768]
[625.20001221],[624.33563]
[627.],[626.4767]
[636.22497559],[628.787]
[628.57501221],[632.7509]
[636.97497559],[634.60846]
[626.40002441],[636.79456]
[612.02502441],[636.1631]
[616.72497559],[630.7067]
[608.375],[625.7629]
[617.54998779],[620.9]
[623.34997559],[619.6118]
[629.42498779],[621.9387]
[638.72497559],[626.6581]
[629.72497559],[633.2792]
[619.70001221],[636.6307]
[623.92498779],[634.6874]
[620.29998779],[631.9028]
[623.875],[629.0645]
[629.70001221],[627.926]
[630.84997559],[629.4153]
[629.15002441],[631.9897]
[618.],[633.7666]
[624.70001221],[631.8133]
[603.67498779],[630.2224]
[592.95001221],[624.48083]
[597.65002441],[615.577]
[600.5],[609.02997]
[611.52502441],[606.42914]
[607.125],[608.93976]
[604.57501221],[611.99335]
[606.57501221],[613.36505]
[599.22497559],[613.8697]
[612.65002441],[612.14465]
[615.5],[612.9406]
[621.82501221],[615.70233]
[612.32501221],[619.9827]
[616.40002441],[621.3958]
[618.45001221],[621.74066]
[614.45001221],[622.21655]
[632.02502441],[621.7681]
[624.59997559],[625.2235]
[629.07501221],[628.0838]
[640.02502441],[630.5823]
[633.15002441],[634.99927]
[634.20001221],[637.5705]
[631.77502441],[638.574]
[639.29998779],[638.10706]
[649.32501221],[639.07263]
[645.82501221],[643.19104]
[661.72497559],[646.81476]
[661.42498779],[652.9287]
[660.22497559],[658.64166]
[675.45001221],[662.03516]
[671.65002441],[667.29407]
[683.57501221],[671.2942]
[671.875],[676.5004]
[668.92498779],[677.9338]
[670.42498779],[676.26025]
[682.25],[674.372]
[687.79998779],[676.4087]
[693.34997559],[681.377]
[685.72497559],[687.5683]
[696.32501221],[690.34753]
[707.45001221],[693.43365]
[708.84997559],[699.14014]
[706.54998779],[704.859]
[671.04998779],[708.0774]
[649.90002441],[699.51794]
[661.],[682.5821]
[652.02502441],[670.83]
[644.72497559],[663.4365]
[646.59997559],[658.02185]
[642.79998779],[655.2941]
[635.77502441],[653.54553]
[647.95001221],[650.7351]
[651.47497559],[651.11743]
[661.32501221],[653.8952]
[658.57501221],[659.2018]
[652.],[663.2751]
[646.34997559],[663.5543]
[647.42498779],[660.43567]
[644.67498779],[657.0685]
[644.72497559],[654.1074]
[649.22497559],[652.2026]
[647.32501221],[652.4674]
[647.95001221],[653.1803]
[641.57501221],[653.88165]
[653.67498779],[652.727]
[644.84997559],[654.018]
[659.45001221],[654.1046]
[657.29998779],[657.0091]
[657.67498779],[660.0746]
[654.20001221],[662.1626]
[655.75],[662.24567]
[657.75],[661.77466]
[657.625],[661.85333]
[665.59997559],[662.2035]
[664.79998779],[664.5968]
[660.27502441],[667.1189]
[665.75],[667.6401]
[665.59997559],[668.43384]
[662.47497559],[669.3001]
[667.25],[669.1305]
[647.07501221],[669.7434]
[643.40002441],[665.4604]
[631.17498779],[659.0026]
[636.40002441],[650.6855]
[641.09997559],[645.355]
[638.22497559],[644.36206]
[644.29998779],[644.81396]
[646.84997559],[646.97253]
[647.59997559],[649.8707]
[649.04998779],[652.314]
[657.],[654.0786]
[658.40002441],[657.0014]
[649.72497559],[660.0607]
[648.95001221],[659.95966]
[640.34997559],[658.0614]
[632.07501221],[653.9086]
[618.59997559],[647.8921]
[609.84997559],[639.5034]
[612.90002441],[630.3272]
[611.27502441],[624.2984]
[621.45001221],[621.18384]
[602.75],[622.5495]
[605.32501221],[620.99274]
[616.32501221],[618.48145]
[626.02502441],[619.01105]
[629.34997559],[623.31744]
[633.09997559],[628.85046]
[631.09997559],[633.98395]
[625.47497559],[636.8247]
[633.75],[636.28595]
[627.92498779],[636.3694]
[632.07501221],[635.62036]
[631.65002441],[635.60693]
[640.29998779],[635.97015]
[649.59997559],[638.5274]
[647.42498779],[643.82666]
[650.125],[648.3491]
[638.29998779],[651.65424]
[629.20001221],[650.52893]
[653.17498779],[645.3239]
[667.25],[645.9907]
[668.72497559],[653.43085]
[673.875],[662.10803]
[681.],[669.69135]
[675.5],[676.3399]
[665.],[679.30554]
[658.75],[676.9276]
[655.97497559],[671.3481]
[664.27502441],[665.6491]
[670.25],[664.05615]
[672.52502441],[666.5918]
[672.47497559],[670.7537]
[673.07501221],[674.2135]
[672.07501221],[676.3879]
[674.04998779],[677.128]
[678.17498779],[677.59326]
[680.02502441],[679.013]
[685.27502441],[681.0202]
[693.57501221],[684.0584]
[711.29998779],[688.9057]
[707.34997559],[697.9271]
[705.02502441],[705.1824]
[717.70001221],[708.43646]
[723.84997559],[712.4409]
[721.07501221],[717.72186]
[712.67498779],[721.2542]
[721.77502441],[720.50525]
[726.40002441],[720.7363]
[725.52502441],[723.13904]
[727.54998779],[725.62213]
[736.84997559],[727.88226]
[748.20001221],[732.07245]
[741.59997559],[739.2293]
[758.5],[743.61053]
[750.92498779],[749.9959]
[756.59997559],[753.4398]
[770.07501221],[755.9615]
[780.59997559],[761.5159]
[794.95001221],[769.98157]
[791.57501221],[781.2222]
[783.09997559],[788.9734]
[780.25],[789.8903]
[775.84997559],[786.93445]
[783.84997559],[782.5471]
[785.125],[781.8333]
[783.47497559],[783.6491]
[773.375],[785.38153]
[778.82501221],[783.4087]
[779.97497559],[782.2288]
[771.07501221],[782.5199]
[771.67498779],[780.6914]
[778.17498779],[778.65027]
[787.875],[779.35065]
[778.42498779],[784.0216]
[783.67498779],[785.9086]
[771.70001221],[787.2259]
[753.90002441],[784.4676]
[749.17498779],[775.5084]
[740.375],[765.69244]
[748.70001221],[756.6153]
[765.22497559],[753.3341]
[768.45001221],[758.5092]
[755.875],[766.41486]
[736.22497559],[768.6744]
[741.57501221],[761.6099]
[728.32501221],[754.54785]
[726.375],[746.5727]
[712.65002441],[740.0993]
[715.27502441],[732.4917]
[701.15002441],[727.35504]
[684.67498779],[721.0632]
[685.375],[711.38824]
[689.20001221],[703.3427]
[716.95001221],[699.71045]
[709.25],[706.51385]
[733.59997559],[713.73376]
[735.79998779],[724.6537]
[740.04998779],[734.5566]
[749.22497559],[741.67285]
[747.95001221],[747.8123]
[725.79998779],[751.3485]
[728.97497559],[746.20544]
[735.77502441],[739.7523]
[727.02502441],[737.41864]
[736.90002441],[735.41003]
[736.20001221],[736.74457]
[746.42498779],[739.09534]
[749.20001221],[743.90283]
[746.34997559],[749.1183]
[734.77502441],[751.87305]
[749.],[749.2288]
[757.04998779],[749.2051]
[748.67498779],[753.1588]
[749.70001221],[755.05725]
[749.22497559],[755.38776]
[734.70001221],[754.9466]
[732.67498779],[750.2255]
[733.90002441],[744.5584]
[735.375],[740.9855]
[759.47497559],[740.0261]
[762.52502441],[747.3514]
[750.77502441],[756.95593]
[734.04998779],[760.50446]
[722.82501221],[755.0517]
[725.34997559],[744.45557]
[726.22497559],[736.31726]
[721.90002441],[732.511]
[713.84997559],[730.4791]
[702.25],[727.31726]
[711.125],[721.251]
[705.34997559],[718.2667]
[696.15002441],[716.23676]
[718.84997559],[712.426]
[745.95001221],[715.0308]
[759.07501221],[727.50745]
[746.17498779],[744.07794]
[750.27502441],[752.948]
[744.90002441],[756.0945]
[769.15002441],[754.5804]
[765.09997559],[758.8178]
[753.32501221],[763.6098]
[752.45001221],[763.2454]
[755.97497559],[760.42334]
[782.27502441],[758.9508]
[804.92498779],[766.61273]
