Label,Prediction
[32.68000031],[31.882717]
[33.95000076],[32.599136]
[34.72000122],[33.69532]
[36.29000092],[34.02999]
[35.40999985],[35.477467]
[34.54999924],[33.88177]
[34.02999878],[33.283287]
[33.20999908],[33.06871]
[32.79999924],[32.502983]
[31.85000038],[32.4392]
[31.25],[31.519884]
[30.98999977],[31.10072]
[30.89999962],[30.868149]
[31.02000046],[30.706726]
[31.61000061],[30.695465]
[31.5],[31.14997]
[31.44000053],[30.72784]
[31.15999985],[30.57631]
[30.67000008],[30.218956]
[29.89999962],[29.758934]
[29.87000084],[29.069876]
[28.5],[29.271719]
[27.59000015],[27.847685]
[27.79000092],[27.168716]
[28.86000061],[27.541718]
[27.89999962],[28.640978]
[26.62999916],[27.394798]
[25.96999931],[26.074429]
[25.79000092],[25.490921]
[25.95000076],[25.416246]
[27.5],[25.631313]
[27.25],[27.149656]
[26.92000008],[26.717422]
[27.13999939],[26.287014]
[27.34000015],[26.48509]
[26.75],[26.727474]
[26.],[26.207098]
[25.38999939],[25.584988]
[26.15999985],[25.136402]
[27.29999924],[26.038797]
[27.59000015],[27.210436]
[26.87000084],[27.41971]
[28.09000015],[26.570322]
[28.65999985],[27.769466]
[26.95000076],[28.299511]
[27.56999969],[26.515368]
[26.81999969],[27.287922]
[26.89999962],[26.576344]
[27.51000023],[26.789454]
[27.5],[27.439447]
[27.37000084],[27.372171]
[27.56999969],[27.154976]
[27.98999977],[27.281738]
[27.72999954],[27.643723]
[28.52000046],[27.290945]
[29.34000015],[28.085276]
[29.69000053],[28.856934]
[29.95999908],[29.119993]
[29.97999954],[29.328016]
[29.44000053],[29.307997]
[28.89999962],[28.754059]
[29.18000031],[28.301043]
[29.40999985],[28.747288]
[29.],[29.011189]
[27.78000069],[28.519026]
[27.65999985],[27.181847]
[27.25],[27.13986]
[27.26000023],[26.678492]
[27.52000046],[26.67785]
[27.06999969],[26.853857]
[24.79999924],[26.242704]
[24.57999992],[23.823431]
[24.25],[23.725967]
[24.5],[23.471355]
[23.85000038],[23.772875]
[22.87999916],[23.11095]
[22.34000015],[22.135117]
[22.47999954],[21.610289]
[21.84000015],[21.766125]
[20.96999931],[21.245615]
[21.],[20.478703]
[21.],[20.492216]
[20.67000008],[20.555119]
[20.85000038],[20.318699]
[21.11000061],[20.452118]
[21.32999992],[20.698689]
[21.03000069],[20.91715]
[21.],[20.698406]
[21.53000069],[20.654505]
[21.17000008],[21.133356]
[22.27000046],[20.961718]
[22.10000038],[21.884245]
[22.44000053],[21.918247]
[22.65999985],[22.20458]
[21.96999931],[22.447367]
[21.40999985],[21.897015]
[21.57999992],[21.370579]
[21.],[21.51732]
[21.03000069],[21.11406]
[21.45999908],[21.110315]
[22.51000023],[21.48668]
[22.01000023],[22.41632]
[22.75],[22.027338]
[22.42000008],[22.494673]
[22.20000076],[22.197403]
[21.93000031],[21.911142]
[21.20000076],[21.639305]
[21.13999939],[21.00024]
[21.39999962],[20.917696]
[21.36000061],[21.196062]
[21.67000008],[21.223492]
[21.78000069],[21.467237]
[22.17000008],[21.5493]
[21.32999992],[21.840286]
[21.62999916],[21.089434]
[21.85000038],[21.207912]
[22.64999962],[21.445465]
[22.70000076],[22.202396]
[23.11000061],[22.342127]
[22.45000076],[22.678644]
[22.85000038],[22.086933]
[23.76000023],[22.359173]
[23.31999969],[23.255959]
[23.07999992],[22.957836]
[23.5],[22.666796]
[23.18000031],[23.017712]
[23.04000092],[22.764473]
[22.56999969],[22.600834]
[21.77000046],[22.1453]
[21.43000031],[21.36857]
[22.48999977],[21.00149]
[22.77000046],[21.957773]
[21.88999939],[22.331348]
[16.44000053],[21.492626]
[16.26000023],[16.58421]
[16.],[15.866246]
[16.05999947],[15.893262]
[15.65999985],[16.18431]
[17.29999924],[16.050882]
[17.40999985],[17.172401]
[17.28000069],[17.525831]
[17.28000069],[17.369633]
[17.40999985],[17.216051]
[17.31999969],[17.245457]
[16.98999977],[17.228062]
[16.75],[17.042389]
